product_id,product_name,review_score,review_date,customer_id,price,quantity_purchased,verified_purchase,review_length,sentiment
P1001,Wireless Headphones,4.5,2024-01-15,C50001,79.99,1,Yes,245,Positive
P1002,USB-C Cable,5.0,2024-01-16,C50002,12.99,2,Yes,189,Positive
P1003,Laptop Stand,3.5,2024/01/17,C50003,45.50,1,Yes,302,Neutral
P1004,Mechanical Keyboard,5,01-18-2024,C50004,129.99,1,TRUE,421,Positive
P1005,Webcam HD,4.0,2024-01-19,C50005,89.00,1,Yes,267,Positive
P1006,Mouse Pad,2.5,2024-01-20,C50006,15.99,3,No,156,Negative
P1007,Monitor 27inch,4.8,2024-01-21,C50007,299.99,1,Yes,534,Positive
P1008,Desk Lamp,3.0,2024-01-22,C50008,35.99,1,yes,198,Neutral
P1009,Phone Charger,1.5,23/01/2024,C50009,19.99,2,Yes,412,Negative
P1010,Bluetooth Speaker,4.5,2024-01-24,C50010,55.99,1,Yes,289,Positive
P1011,Gaming Mouse,5.0,2024-01-25,C50011,69.99,1,TRUE,356,Positive
P1012,HDMI Cable,4.0,2024-01-26,C50012,14.99,4,Yes,123,Positive
P1013,Laptop Bag,3.5,2024/01/27,C50013,45.00,1,No,278,Neutral
P1014,Screen Protector,2.0,28-01-2024,C50014,9.99,2,Yes,145,Negative
P1015,Power Bank,4.5,2024-01-29,,89.99,1,Yes,312,Positive
P1016,USB Hub,4.0,2024-01-30,C50016,29.99,1,Yes,234,Positive
P1017,Wireless Keyboard,5,2024-01-31,C50017,79.99,1,TRUE,401,Positive
P1018,Webcam Cover,1.0,2024-02-01,C50018,5.99,5,Yes,89,Negative
P1019,Cable Organizer,3.5,02/02/2024,C50019,12.99,2,No,167,Neutral
P1020,Laptop Sleeve,4.5,2024-02-03,C50020,25.99,1,Yes,223,Positive
P1021,Wireless Headphones,4.0,2024-02-04,C50021,79.99,1,yes,298,Positive
P1022,USB-C Cable,2.5,05-02-2024,C50022,12.99,3,Yes,134,Negative
P1023,Laptop Stand,5.0,2024-02-06,C50023,45.50,1,TRUE,445,Positive
P1024,Mechanical Keyboard,,2024-02-07,C50024,129.99,1,Yes,0,
P1025,Webcam HD,4.5,2024/02/08,C50025,89.00,1,Yes,267,Positive
P1026,Mouse Pad,3.0,2024-02-09,C50026,15.99,2,No,189,Neutral
P1027,Monitor 27inch,5.0,2024-02-10,C50027,299.99,1,Yes,523,Positive
P1028,Desk Lamp,4.0,11-02-2024,C50028,35.99,1,Yes,201,Positive
P1029,Phone Charger,1.5,2024-02-12,C50029,19.99,2,yes,387,Negative
P1030,Bluetooth Speaker,4.5,2024-02-13,,55.99,1,Yes,312,Positive
P1031,Gaming Mouse,5,2024-02-14,C50031,69.99,1,TRUE,378,Positive
P1032,HDMI Cable,3.5,2024/02/15,C50032,14.99,3,Yes,145,Neutral
P1033,Laptop Bag,4.0,2024-02-16,C50033,45.00,1,No,256,Positive
P1034,Screen Protector,2.5,17-02-2024,C50034,9.99,2,Yes,123,Negative
P1035,Power Bank,NULL,2024-02-18,C50035,89.99,1,Yes,0,
P1036,USB Hub,4.5,2024-02-19,C50036,29.99,1,yes,289,Positive
P1037,Wireless Keyboard,5.0,2024-02-20,C50037,79.99,,TRUE,412,Positive
P1038,Webcam Cover,1.5,21/02/2024,C50038,5.99,10,Yes,67,Negative
